case_key,case_id,case_name,guide_id,guide_title,snapshots_count,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,citation_variants_count
apps:57818/09,57818/09,Lashmankin and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:laskey jaggard and brown v the united kingdom::1997,,"Laskey, Jaggard and Brown v. the United Kingdom",0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:47833/20,47833/20,Lenis v. Greece (dec.),0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:29297/18,29297/18,Lilliendahl v. Iceland (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:31417/96|32377/96,31417/96|32377/96,Lustig-Prean and Beckett v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:42821/18,42821/18,"M. v. France, (dec.)",0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:12060/12,12060/12,M.C. and A.C. v. Romania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:39272/98,39272/98,M.C. v. Bulgaria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:71398/12,71398/12,M.E. v. Sweden (striking out) [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:72413/10,72413/10,M.K.N. v. Sweden,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:11313/02,11313/02,M.W. v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:61435/19,61435/19,Macatė v. Lithuania [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:66686/09,66686/09,Manenc c. France (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:marckx v belgium::1979,,Marckx v. Belgium,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:56501/00,56501/00,Mata Estevez v. Spain (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:75135/14,75135/14,Maymulakhin and Markiv v. Ukraine,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:59180/15,59180/15,Minasyan and Others v. Armenia*,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:20981/10,20981/10,Mladina d.d. Ljubljana v. Slovenia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:modinos v cyprus::1993,,Modinos v. Cyprus,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:8675/15|8697/15,8675/15|8697/15,N.D. and N.T. v. Spain [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:39954/09|3465/17,39954/09|3465/17,Nepomnyashchiy and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
name:norris v ireland::1988,,Norris v. Ireland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:31039/11,31039/11,Novruk and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:56368/17,56368/17,"Nurmatov (Ali Feruz) v. Russia (dec.), no.56368/17",0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:53568/18|54741/18,53568/18|54741/18,O.H. and G.H. v. Germany,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:9912/15,9912/15,O.M. v. Hungary,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:71367/12|72961/12,71367/12|72961/12,Oganezova v. Armenia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:18766/11|36030/11,18766/11|36030/11,Oliari and Others v. Italy,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:26431/12,26431/12,Orlandi and Others v. Italy,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:40296/16,40296/16,P. v. Ukraine (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:18984/02,18984/02,P.B. and J.S. v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:35159/09,35159/09,P.V. v. Spain,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:68453/13,68453/13,Pajić v. Croatia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:42971/05,42971/05,Parry v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:44973/04,44973/04,Premininy v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:11454/17,11454/17,Przybyszewska and others v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,2,20240613074526,20250612193940,1
apps:35748/05,35748/05,R. and F. v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:46808/16,46808/16,R.F. and Others v. Germany,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:54006/20,54006/20,R.K. v. Hungary,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:40888/17,40888/17,Rana v. Hungary,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:28475/12,28475/12,Ratzenböck and Seydl v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:rees v the united kingdom::1986,,Rees v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:58358/14,58358/14,Romanov and others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,2,20240613074526,20250612193940,1
apps:56846/15|56849/15,56846/15|56849/15,S.-H. v. Poland (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:31428/18,31428/18,S.A.C. v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:45330/99,45330/99,S.L. v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:55216/08,55216/08,S.V. v. Italy,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:1928/19,1928/19,S.W. and Others v. Austria (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:50231/13,50231/13,Sabalić v. Croatia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:33290/96,33290/96,Salgueiro da Silva Mouta v. Portugal,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:31874/07,31874/07,Santos Couto v. Portugal,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
